AA_MAXRMS,AA_NumberofsamplesaboveRMSTH,AA_LogicalIgnition,InstallStationId,AfterCrashStoppingStatus3,VehicleManu,VehicleModel,MokedStatusDesc,IMPACTX,IMPACTY,IMPACTZ,ORX,ORY,ORZ,Speed,XaxisEnabled,YaxisEnabled,ZaxisEnabled,IMPACTXYZAvg,MaxIMPACTAxis,vtype
5.42525,5,1,0,1,Hyundai,Kona,false_alarm,-4.08,3.576,0.74,-0.16,0.04,-0.98,0,1,1,0,10,X,CrossOver                               
5.06,1,0,0,1,Renault,Koleos,false_alarm,0.024,5.06,-0.012,-0.652,-0.004,-0.804,0,1,1,0,7,Y,CrossOver                               
3.00075,3,1,0,1,Hyundai,I20,no_answer,2.404,1.796,1.188,-0.372,0.236,-0.9,5,1,1,0,7,X,Private                                 
2.0665,1,1,0,1,Renault,Grand Coupe,false_alarm,1.268,1.632,-0.356,-0.18,0,-0.96,4,1,1,0,5,Y,Private                                 
2.145,1,1,0,1,Nissan,Qashqai,false_alarm,0.328,2.12,0.744,-0.112,-0.064,-1.004,4,1,1,0,5,Y,CrossOver                               
2.623,1,0,0,1,Renault,Grand Coupe,false_alarm,0.516,2.572,1.32,-0.148,0.236,-0.956,0,1,1,0,6,Y,Private                                 
2.556,3,1,0,1,Citroen,C5 Aircross,false_alarm,0.32,-2.536,0.624,0,0.072,0.96,2,1,1,0,5,Y,CrossOver                               
4.484,1,0,0,1,MG,ZS EV,false_alarm,4.484,-0.004,0.004,0.008,0.6,-0.9080001,1,1,1,0,6,X,CrossOver                               
4.488,1,0,0,1,Nissan,Qashqai,false_alarm,4.488,0.008,-0.012,0,-0.448,-0.9,1,1,1,0,6,X,CrossOver                               
3.8825,4,0,0,1,Citroen,C5 Aircross D,false_alarm,-3.816,0.716,-0.224,-0.024,0.02,-0.96,35,1,1,0,6,X,CrossOver                               
5.06,1,0,0,1,Renault,Grand Coupe,false_alarm,0.012,5.06,0,-0.016,-0.004,-0.98,0,1,1,0,7,Y,Private                                 
2.45725,3,1,0,1,Hyundai,Santa Fe,false_alarm,-0.164,-2.452,-0.052,0.516,0.164,-0.844,1,1,1,0,4,Y,CrossOver                               
2.443,1,1,0,1,Nissan,Micra,false_alarm,-1.464,-1.956,-0.8800001,0.052,0.572,-0.892,3,1,1,0,6,Y,Private                                 
8.152,1,0,0,1,Dacia,Sandero Stepway,false_alarm,0.008,8.152,-0.028,0.024,-0.016,-1.044,0,1,1,0,10,Y,Private                                 
2.11975,1,1,0,1,Renault,Grand Coupe,false_alarm,-0.388,2.084,0.208,-0.02,0.08000001,-0.9960001,4,1,1,0,4,Y,Private                                 
8.160001,1,0,0,1,Renault,Clio,no_answer,0.012,0.004,8.160001,0.124,-0.964,0.028,1,1,0,1,10,Z,Private                                 
2.13725,4,1,0,1,Peugeot,208 Access,false_alarm,-2.056,0.5840001,2.508,-0.152,-0.456,-0.86,2,1,1,0,7,Z,Private                                 
2.163,1,1,0,1,Nissan,Qashqai,false_alarm,-1.252,1.764,2.276,0.07600001,-0.404,-0.988,1,1,1,0,7,Z,CrossOver                               
6.66025,3,1,0,1,Hyundai,I20,false_alarm,1.36,0.64,-6.52,-0.368,0.848,-0.36,3,1,0,1,10,Z,Private                                 
6.863,4,1,0,1,Nissan,Qashqai,false_alarm,1.54,6.688,-2.92,0,-0.4,-0.964,4,1,1,0,13,Y,CrossOver                               
2.50075,1,1,0,1,Nissan,X-trail,no_answer,0.512,2.448,0.016,-0.108,-0.36,-0.964,0,1,1,0,4,Y,CrossOver                               
2.1635,1,1,0,1,Dacia,Logan,false_alarm,1.02,1.908,0.388,0.004,0.09200001,-1.084,4,1,1,0,5,Y,Private                                 
3.9235,4,1,0,1,Hyundai,IoniQ,false_alarm,3.916,3.06,2.456,0.932,0.06,0.328,2,0,1,1,11,X,Private                                 
2.87025,1,0,0,1,MG,ZS EV,maintenance,0.116,-2.868,-1.28,0.108,0.484,-0.9480001,1,1,1,0,6,Y,CrossOver                               
3.50075,4,1,0,1,Toyota,Corolla,false_alarm,-3.488,-0.3,0.02,0.064,-0.052,-1.012,2,1,1,0,5,X,Private                                 
7.74875,4,1,0,1,Peugeot,2008,flat_tire,-2.152,7.444,1.508,-0.008,-0.036,-0.9960001,5,1,1,0,13,Y,Private                                 
4.48,1,0,0,1,Peugeot,3008EV,false_alarm,4.48,0.012,0.004,0.004,0.152,-1,0,1,1,0,6,X,CrossOver                               
2.62,1,1,0,1,MG,ZS EV,false_alarm,0.004,-2.62,-2.244,0.072,0.36,-0.936,3,1,1,0,6,Y,CrossOver                               
2.1265,1,1,0,1,Nissan,Qashqai,no_answer,0.212,-2.116,1.396,0.012,-0.384,-1.008,1,1,1,0,5,Y,CrossOver                               
3.63025,1,1,0,1,Dacia,Sandero Stepway,false_alarm,1.184,3.432,-0.6,-0.032,-0.04,-1.004,1,1,1,0,7,Y,Private                                 
2.87525,1,0,0,1,Renault,Koleos,false_alarm,0.372,-1.052,-2.676,0.924,-0.172,-0.072,0,0,1,1,6,Z,CrossOver                               
3.428,3,1,0,1,Mitsubishi,Attrage,false_alarm,2.98,-1.92,-2.84,0.7320001,0.032,-0.696,3,0,1,1,9,X,Private                                 
2.18575,1,0,0,1,Dacia,Sandero Stepway,false_alarm,-2.184,-0.09200001,0.26,-0.096,0.148,-1.048,1,1,1,0,4,X,Private                                 
2.55,2,1,0,1,Nissan,X-trail,no_answer,2.248,-1.204,0.608,0.09200001,-0.264,-1.028,4,1,1,0,6,X,CrossOver                               
4.496,1,0,0,1,MG,ZS EV,false_alarm,4.496,0.016,0,0,0.276,-0.932,1,1,1,0,6,X,CrossOver                               
2.64525,2,0,0,1,Nissan,Qashqai,false_alarm,-0.336,-2.624,-5.22,0.104,-0.424,-0.932,0,1,1,0,10,Z,CrossOver                               
3.00925,3,1,0,1,Citroen,C5 Aircross D,false_alarm,-0.728,-2.92,-3.512,0.04,-0.008,-1,1,1,1,0,9,Z,CrossOver                               
2.33025,3,1,0,1,Nissan,Qashqai,false_alarm,0.568,2.26,2.492,-0.016,-0.364,-0.992,4,1,1,0,7,Z,CrossOver                               
2.06225,1,1,0,1,Nissan,X-trail,no_answer,-0.396,2.024,0.224,0.028,-0.4,-0.92,0,1,1,0,4,Y,CrossOver                               
3.54675,6,1,0,1,Hyundai,IoniQ,false_alarm,3.42,0.9400001,0.988,-0.332,-0.044,-0.924,0,1,1,0,7,X,Private                                 
2.297,1,1,0,1,Renault,Clio,no_answer,0.068,-2.296,0.292,-0.116,-0.456,-0.8240001,4,1,1,0,4,Y,Private                                 
2.064,1,1,0,1,MG,ZS EV,no_answer,-0.384,2.028,1.468,0.072,0.36,-0.936,3,1,1,0,5,Y,CrossOver                               
8.004001,1,0,0,1,Dacia,Sandero Stepway,false_alarm,-0.02,-8.004001,0.016,-0.02,-0.008,-0.9480001,1,1,1,0,10,Y,Private                                 
2.753,3,1,0,1,Mitsubishi,Attrage,false_alarm,2.048,-1.84,-2.656,0.096,0.032,-1.04,0,1,1,0,8,Z,Private                                 
2.1925,1,1,0,1,Nissan,Qashqai,false_alarm,-0.048,-2.192,2.292,-0.04,-0.344,-0.9680001,1,1,1,0,6,Z,CrossOver                               
6.27675,3,0,0,1,Hyundai,IoniQ,no_answer,-0.104,-2.036,-6.276,-0.2,-0.9400001,0.356,22,1,0,1,10,Z,Private                                 
6.336,1,0,0,1,Nissan,Juke,false_alarm,0.012,0.024,6.336,0.036,-1.124,-0.012,0,1,0,1,8,Z,CrossOver                               
6.892,1,0,0,1,Nissan,Juke,false_alarm,6.892,-0.004,0.036,0.016,-1.088,0.056,0,1,0,1,8,X,CrossOver                               
3.0715,4,1,0,1,Hyundai,I20,false_alarm,-1.648,0.18,-2.592,0.048,-0.9160001,0.384,1,1,0,1,6,Z,Private                                 
4.02725,3,1,0,1,Citroen,C5 Aircross,false_alarm,3.728,1.524,-2.58,0.288,-0.004,-0.9720001,1,1,1,0,9,X,CrossOver                               
4.476,1,0,0,1,Dacia,Logan,false_alarm,4.476,-0.004,0.02,0.004,0.09200001,-1.084,1,1,1,0,6,X,Private                                 
2.853,2,1,0,1,Nissan,Qashqai,false_alarm,-0.228,2.844,4.316,-0.168,-0.172,-1.012,3,1,1,0,9,Z,CrossOver                               
2.476,1,1,0,1,Nissan,X-trail,no_answer,-0.016,-2.476,0.168,-0.07600001,-0.368,-1,4,1,1,0,4,Y,CrossOver                               
2.739,5,1,0,1,Renault,Grand Coupe,false_alarm,-2.736,-0.272,0.132,0.072,-1.012,0.164,0,1,0,1,5,X,Private                                 
4.5635,3,1,0,1,Hyundai,I25,false_alarm,1.24,-4.392,-2.292,-0.024,0.376,0.9160001,1,1,1,0,9,Y,Private                                 
2.06925,1,1,0,1,Nissan,X-trail,false_alarm,0.5,2.008,1.736,-0.172,0.444,-0.8880001,4,1,1,0,6,Y,CrossOver                               
5.558,3,1,0,1,Citroen,C5 Aircross,false_alarm,1.14,-5.44,4.128,0.108,-0.096,-0.9760001,0,1,1,0,12,Y,CrossOver                               
2.6315,3,1,0,1,Peugeot,2008,false_alarm,0.8800001,-2.48,-0.8880001,0.016,0.096,-0.984,0,1,1,0,6,Y,Private                                 
4.561,6,1,0,1,Renault,Clio,no_answer,0.612,-4.52,1.036,0.072,-0.108,-1.036,0,1,1,0,8,Y,Private                                 
6.91725,8,1,0,1,Hyundai,I25,accident,1.504,6.752,-1.408,-0.016,-0.032,-1.008,5,1,1,0,11,Y,Private                                 
3.52925,3,1,0,1,Toyota,Corolla,false_alarm,-3.528,0.096,1.172,0.008,0.016,-0.9960001,1,1,1,0,6,X,Private                                 
3.0175,3,0,0,1,Citroen,C5 Aircross,false_alarm,-0.096,3.016,-0.748,0,0.104,0.956,0,1,1,0,5,Y,CrossOver                               
3.0885,3,1,0,1,Hyundai,IoniQ,bumper,-0.42,0.156,-3.06,0.212,0.8840001,-0.348,1,1,0,1,5,Z,Private                                 
2.50325,3,1,0,1,Citroen,C5 Aircross D,bumper,0.128,-2.5,-1.64,-0.032,0.004,-1.032,1,1,1,0,6,Y,CrossOver                               
2.17725,1,1,0,1,Dacia,Logan,pit,-0.38,-2.144,-0.848,0.004,0.09200001,-1.084,2,1,1,0,5,Y,Private                                 
2.37275,2,1,0,1,Nissan,X-trail,false_alarm,-0.416,2.336,0.536,-0.228,-0.024,-0.9720001,4,1,1,0,5,Y,CrossOver                               
